adj,noun,adj_noun,freq
high,number,high number,122
higher,number,higher number,42
highest,number,highest number,54
low,number,low number,42
lower,number,lower number,34
lowest,number,lowest number,22
small,number,small number,389
smaller,number,smaller number,42
smallest,number,smallest number,7
big,number,big number,152
bigger,number,bigger number,23
biggest,number,biggest number,12
large,number,large number,1076
larger,number,larger number,86
largest,number,largest number,74
tiny,number,tiny number,12
tinier,number,tinier number,0
tiniest,number,tiniest number,0
huge,number,huge number,246
huger,number,huger number,0
hugest,number,hugest number,0
high,amount,high amount,23
higher,amount,higher amount,10
highest,amount,highest amount,12
low,amount,low amount,10
lower,amount,lower amount,2
lowest,amount,lowest amount,5
small,amount,small amount,385
smaller,amount,smaller amount,28
smallest,amount,smallest amount,10
big,amount,big amount,9
bigger,amount,bigger amount,2
biggest,amount,biggest amount,5
large,amount,large amount,322
larger,amount,larger amount,34
largest,amount,largest amount,18
tiny,amount,tiny amount,35
tinier,amount,tinier amount,0
tiniest,amount,tiniest amount,1
huge,amount,huge amount,502
huger,amount,huger amount,0
hugest,amount,hugest amount,0
high,proportion,high proportion,10
higher,proportion,higher proportion,6
highest,proportion,highest proportion,4
low,proportion,low proportion,0
lower,proportion,lower proportion,3
lowest,proportion,lowest proportion,0
small,proportion,small proportion,14
smaller,proportion,smaller proportion,3
smallest,proportion,smallest proportion,0
big,proportion,big proportion,2
bigger,proportion,bigger proportion,4
biggest,proportion,biggest proportion,1
large,proportion,large proportion,25
larger,proportion,larger proportion,4
largest,proportion,largest proportion,1
tiny,proportion,tiny proportion,1
tinier,proportion,tinier proportion,0
tiniest,proportion,tiniest proportion,0
huge,proportion,huge proportion,7
huger,proportion,huger proportion,0
hugest,proportion,hugest proportion,0
high,percentage,high percentage,77
higher,percentage,higher percentage,66
highest,percentage,highest percentage,30
low,percentage,low percentage,7
lower,percentage,lower percentage,10
lowest,percentage,lowest percentage,11
small,percentage,small percentage,206
smaller,percentage,smaller percentage,20
smallest,percentage,smallest percentage,4
big,percentage,big percentage,8
bigger,percentage,bigger percentage,8
biggest,percentage,biggest percentage,5
large,percentage,large percentage,87
larger,percentage,larger percentage,34
largest,percentage,largest percentage,16
tiny,percentage,tiny percentage,19
tinier,percentage,tinier percentage,0
tiniest,percentage,tiniest percentage,0
huge,percentage,huge percentage,20
huger,percentage,huger percentage,0
hugest,percentage,hugest percentage,0
high,quantity,high quantity,1
higher,quantity,higher quantity,0
highest,quantity,highest quantity,0
low,quantity,low quantity,0
lower,quantity,lower quantity,0
lowest,quantity,lowest quantity,0
small,quantity,small quantity,10
smaller,quantity,smaller quantity,0
smallest,quantity,smallest quantity,0
big,quantity,big quantity,0
bigger,quantity,bigger quantity,0
biggest,quantity,biggest quantity,0
large,quantity,large quantity,22
larger,quantity,larger quantity,2
largest,quantity,largest quantity,1
tiny,quantity,tiny quantity,0
tinier,quantity,tinier quantity,0
tiniest,quantity,tiniest quantity,0
huge,quantity,huge quantity,3
huger,quantity,huger quantity,0
hugest,quantity,hugest quantity,0
high,standard,high standard,175
higher,standard,higher standard,160
highest,standard,highest standard,50
low,standard,low standard,21
lower,standard,lower standard,25
lowest,standard,lowest standard,4
small,standard,small standard,1
smaller,standard,smaller standard,0
smallest,standard,smallest standard,0
big,standard,big standard,0
bigger,standard,bigger standard,0
biggest,standard,biggest standard,1
large,standard,large standard,0
larger,standard,larger standard,0
largest,standard,largest standard,1
tiny,standard,tiny standard,2
tinier,standard,tinier standard,0
tiniest,standard,tiniest standard,0
huge,standard,huge standard,0
huger,standard,huger standard,0
hugest,standard,hugest standard,0
high,volume,high volume,12
higher,volume,higher volume,6
highest,volume,highest volume,2
low,volume,low volume,8
lower,volume,lower volume,3
lowest,volume,lowest volume,1
small,volume,small volume,9
smaller,volume,smaller volume,0
smallest,volume,smallest volume,0
big,volume,big volume,6
bigger,volume,bigger volume,0
biggest,volume,biggest volume,1
large,volume,large volume,23
larger,volume,larger volume,4
largest,volume,largest volume,1
tiny,volume,tiny volume,0
tinier,volume,tinier volume,0
tiniest,volume,tiniest volume,0
huge,volume,huge volume,12
huger,volume,huger volume,0
hugest,volume,hugest volume,0
high,cost,high cost,172
higher,cost,higher cost,52
highest,cost,highest cost,9
low,cost,low cost,119
lower,cost,lower cost,113
lowest,cost,lowest cost,15
small,cost,small cost,2
smaller,cost,smaller cost,0
smallest,cost,smallest cost,0
big,cost,big cost,14
bigger,cost,bigger cost,1
biggest,cost,biggest cost,12
large,cost,large cost,3
larger,cost,larger cost,1
largest,cost,largest cost,1
tiny,cost,tiny cost,1
tinier,cost,tinier cost,0
tiniest,cost,tiniest cost,1
huge,cost,huge cost,28
huger,cost,huger cost,0
hugest,cost,hugest cost,0
high,profit,high profit,18
higher,profit,higher profit,17
highest,profit,highest profit,6
low,profit,low profit,4
lower,profit,lower profit,2
lowest,profit,lowest profit,0
small,profit,small profit,9
smaller,profit,smaller profit,4
smallest,profit,smallest profit,0
big,profit,big profit,55
bigger,profit,bigger profit,9
biggest,profit,biggest profit,1
large,profit,large profit,4
larger,profit,larger profit,1
largest,profit,largest profit,2
tiny,profit,tiny profit,0
tinier,profit,tinier profit,0
tiniest,profit,tiniest profit,0
huge,profit,huge profit,47
huger,profit,huger profit,0
hugest,profit,hugest profit,0
high,income,high income,48
higher,income,higher income,87
highest,income,highest income,20
low,income,low income,192
lower,income,lower income,106
lowest,income,lowest income,7
small,income,small income,1
smaller,income,smaller income,0
smallest,income,smallest income,0
big,income,big income,6
bigger,income,bigger income,0
biggest,income,biggest income,1
large,income,large income,1
larger,income,larger income,0
largest,income,largest income,5
tiny,income,tiny income,0
tinier,income,tinier income,0
tiniest,income,tiniest income,0
huge,income,huge income,4
huger,income,huger income,0
hugest,income,hugest income,0
high,grade,high grade,18
higher,grade,higher grade,4
highest,grade,highest grade,11
low,grade,low grade,26
lower,grade,lower grade,16
lowest,grade,lowest grade,1
small,grade,small grade,0
smaller,grade,smaller grade,0
smallest,grade,smallest grade,0
big,grade,big grade,0
bigger,grade,bigger grade,0
biggest,grade,biggest grade,0
large,grade,large grade,0
larger,grade,larger grade,0
largest,grade,largest grade,1
tiny,grade,tiny grade,0
tinier,grade,tinier grade,0
tiniest,grade,tiniest grade,0
huge,grade,huge grade,0
huger,grade,huger grade,0
hugest,grade,hugest grade,0
high,loss,high loss,3
higher,loss,higher loss,0
highest,loss,highest loss,1
low,loss,low loss,0
lower,loss,lower loss,1
lowest,loss,lowest loss,0
small,loss,small loss,1
smaller,loss,smaller loss,2
smallest,loss,smallest loss,0
big,loss,big loss,78
bigger,loss,bigger loss,6
biggest,loss,biggest loss,16
large,loss,large loss,12
larger,loss,larger loss,2
largest,loss,largest loss,12
tiny,loss,tiny loss,0
tinier,loss,tinier loss,0
