adj,noun,adj_noun,freq
rising,number,rising number,69
falling,number,falling number,2
climbing,number,climbing number,0
ascending,number,ascending number,0
descending,number,descending number,0
plunging,number,plunging number,0
plummeting,number,plummeting number,1
soaring,number,soaring number,0
dipping,number,dipping number,0
dropping,number,dropping number,0
slumping,number,slumping number,0
surging,number,surging number,0
skyrocketing,number,skyrocketing number,3
growing,number,growing number,368
shrinking,number,shrinking number,2
increasing,number,increasing number,150
decreasing,number,decreasing number,4
rising,amount,rising amount,6
falling,amount,falling amount,0
climbing,amount,climbing amount,0
ascending,amount,ascending amount,0
descending,amount,descending amount,0
plunging,amount,plunging amount,0
plummeting,amount,plummeting amount,0
soaring,amount,soaring amount,0
dipping,amount,dipping amount,0
dropping,amount,dropping amount,0
slumping,amount,slumping amount,0
surging,amount,surging amount,0
skyrocketing,amount,skyrocketing amount,1
growing,amount,growing amount,6
shrinking,amount,shrinking amount,1
increasing,amount,increasing amount,29
decreasing,amount,decreasing amount,1
rising,proportion,rising proportion,1
falling,proportion,falling proportion,0
climbing,proportion,climbing proportion,0
ascending,proportion,ascending proportion,0
descending,proportion,descending proportion,0
plunging,proportion,plunging proportion,0
plummeting,proportion,plummeting proportion,0
soaring,proportion,soaring proportion,0
dipping,proportion,dipping proportion,0
dropping,proportion,dropping proportion,0
slumping,proportion,slumping proportion,0
surging,proportion,surging proportion,0
skyrocketing,proportion,skyrocketing proportion,0
growing,proportion,growing proportion,2
shrinking,proportion,shrinking proportion,1
increasing,proportion,increasing proportion,3
decreasing,proportion,decreasing proportion,0
rising,percentage,rising percentage,2
falling,percentage,falling percentage,0
climbing,percentage,climbing percentage,0
ascending,percentage,ascending percentage,0
descending,percentage,descending percentage,0
plunging,percentage,plunging percentage,0
plummeting,percentage,plummeting percentage,0
soaring,percentage,soaring percentage,0
dipping,percentage,dipping percentage,0
dropping,percentage,dropping percentage,0
slumping,percentage,slumping percentage,0
surging,percentage,surging percentage,0
skyrocketing,percentage,skyrocketing percentage,0
growing,percentage,growing percentage,4
shrinking,percentage,shrinking percentage,0
increasing,percentage,increasing percentage,1
decreasing,percentage,decreasing percentage,0
rising,quantity,rising quantity,0
falling,quantity,falling quantity,0
climbing,quantity,climbing quantity,0
ascending,quantity,ascending quantity,0
descending,quantity,descending quantity,0
plunging,quantity,plunging quantity,0
plummeting,quantity,plummeting quantity,0
soaring,quantity,soaring quantity,0
dipping,quantity,dipping quantity,0
dropping,quantity,dropping quantity,0
slumping,quantity,slumping quantity,0
surging,quantity,surging quantity,0
skyrocketing,quantity,skyrocketing quantity,0
growing,quantity,growing quantity,0
shrinking,quantity,shrinking quantity,0
increasing,quantity,increasing quantity,0
decreasing,quantity,decreasing quantity,0
rising,standard,rising standard,7
falling,standard,falling standard,1
climbing,standard,climbing standard,0
ascending,standard,ascending standard,0
descending,standard,descending standard,0
plunging,standard,plunging standard,0
plummeting,standard,plummeting standard,0
soaring,standard,soaring standard,0
dipping,standard,dipping standard,0
dropping,standard,dropping standard,0
slumping,standard,slumping standard,0
surging,standard,surging standard,0
skyrocketing,standard,skyrocketing standard,0
growing,standard,growing standard,0
shrinking,standard,shrinking standard,0
increasing,standard,increasing standard,0
decreasing,standard,decreasing standard,0
rising,volume,rising volume,2
falling,volume,falling volume,0
climbing,volume,climbing volume,0
ascending,volume,ascending volume,0
descending,volume,descending volume,0
plunging,volume,plunging volume,0
plummeting,volume,plummeting volume,0
soaring,volume,soaring volume,0
dipping,volume,dipping volume,0
dropping,volume,dropping volume,0
slumping,volume,slumping volume,0
surging,volume,surging volume,0
skyrocketing,volume,skyrocketing volume,0
growing,volume,growing volume,0
shrinking,volume,shrinking volume,0
increasing,volume,increasing volume,1
decreasing,volume,decreasing volume,0
rising,cost,rising cost,77
falling,cost,falling cost,0
climbing,cost,climbing cost,0
ascending,cost,ascending cost,0
descending,cost,descending cost,0
plunging,cost,plunging cost,0
plummeting,cost,plummeting cost,0
soaring,cost,soaring cost,15
dipping,cost,dipping cost,0
dropping,cost,dropping cost,0
slumping,cost,slumping cost,0
surging,cost,surging cost,0
skyrocketing,cost,skyrocketing cost,13
growing,cost,growing cost,12
shrinking,cost,shrinking cost,1
increasing,cost,increasing cost,10
decreasing,cost,decreasing cost,0
rising,profit,rising profit,0
falling,profit,falling profit,0
climbing,profit,climbing profit,0
